time,temperature_2m,wind_speed_10m,shortwave_radiation
2025-06-01 00:00:00,17.4,8.3,0.0
2025-06-01 01:00:00,17.1,7.1,0.0
2025-06-01 02:00:00,17.0,11.8,0.0
2025-06-01 03:00:00,17.0,9.2,0.0
2025-06-01 04:00:00,17.5,9.1,0.0
2025-06-01 05:00:00,17.0,8.4,0.0
2025-06-01 06:00:00,16.9,6.5,6.0
2025-06-01 07:00:00,17.5,9.9,62.0
2025-06-01 08:00:00,18.2,13.2,189.0
2025-06-01 09:00:00,18.8,14.9,364.0
2025-06-01 10:00:00,20.1,15.5,320.0
2025-06-01 11:00:00,20.8,12.5,401.0
2025-06-01 12:00:00,22.3,18.0,736.0
2025-06-01 13:00:00,22.7,19.7,736.0
2025-06-01 14:00:00,22.6,18.4,701.0
2025-06-01 15:00:00,22.4,20.2,648.0
2025-06-01 16:00:00,22.1,20.8,604.0
2025-06-01 17:00:00,20.1,21.6,388.0
2025-06-01 18:00:00,18.9,19.2,320.0
2025-06-01 19:00:00,18.1,15.1,244.0
2025-06-01 20:00:00,17.4,12.3,171.0
2025-06-01 21:00:00,16.1,12.2,62.0
2025-06-01 22:00:00,15.8,9.0,5.0
2025-06-01 23:00:00,14.7,6.3,0.0
2025-06-02 00:00:00,13.7,5.5,0.0
2025-06-02 01:00:00,12.9,7.4,0.0
2025-06-02 02:00:00,12.4,7.6,0.0
2025-06-02 03:00:00,10.9,5.8,0.0
2025-06-02 04:00:00,10.8,7.6,0.0
2025-06-02 05:00:00,10.6,8.4,0.0
2025-06-02 06:00:00,11.2,9.8,20.0
2025-06-02 07:00:00,12.6,11.7,113.0
2025-06-02 08:00:00,14.0,12.4,248.0
2025-06-02 09:00:00,14.9,14.1,345.0
2025-06-02 10:00:00,15.9,13.2,432.0
2025-06-02 11:00:00,17.1,11.8,590.0
2025-06-02 12:00:00,18.4,12.4,720.0
2025-06-02 13:00:00,19.2,17.8,807.0
2025-06-02 14:00:00,16.7,20.8,624.0
2025-06-02 15:00:00,16.7,11.3,471.0
2025-06-02 16:00:00,17.7,10.9,557.0
2025-06-02 17:00:00,18.0,12.6,581.0
2025-06-02 18:00:00,17.7,13.8,419.0
2025-06-02 19:00:00,17.3,12.3,306.0
2025-06-02 20:00:00,16.4,10.3,197.0
2025-06-02 21:00:00,15.1,7.3,82.0
2025-06-02 22:00:00,13.5,6.3,9.0
2025-06-02 23:00:00,12.8,6.8,0.0
2025-06-03 00:00:00,11.9,5.9,0.0
2025-06-03 01:00:00,10.8,4.8,0.0
2025-06-03 02:00:00,10.1,2.3,0.0
2025-06-03 03:00:00,9.2,0.4,0.0
2025-06-03 04:00:00,8.3,3.7,0.0
2025-06-03 05:00:00,8.4,5.5,0.0
2025-06-03 06:00:00,8.7,8.3,18.0
2025-06-03 07:00:00,10.0,9.0,113.0
2025-06-03 08:00:00,12.2,7.8,250.0
2025-06-03 09:00:00,14.7,9.7,418.0
2025-06-03 10:00:00,16.9,12.8,566.0
2025-06-03 11:00:00,18.8,18.3,693.0
2025-06-03 12:00:00,19.6,19.5,667.0
2025-06-03 13:00:00,20.3,19.8,722.0
2025-06-03 14:00:00,21.1,20.5,713.0
2025-06-03 15:00:00,20.3,17.4,371.0
2025-06-03 16:00:00,21.2,18.2,509.0
2025-06-03 17:00:00,21.4,21.0,510.0
2025-06-03 18:00:00,21.5,17.5,420.0
2025-06-03 19:00:00,21.1,14.4,323.0
2025-06-03 20:00:00,19.9,7.7,196.0
2025-06-03 21:00:00,18.3,8.2,85.0
2025-06-03 22:00:00,17.5,10.3,9.0
2025-06-03 23:00:00,17.4,12.7,0.0
2025-06-04 00:00:00,17.5,12.8,0.0
2025-06-04 01:00:00,16.8,10.6,0.0
2025-06-04 02:00:00,16.3,9.2,0.0
2025-06-04 03:00:00,15.1,5.1,0.0
2025-06-04 04:00:00,14.8,4.2,0.0
2025-06-04 05:00:00,14.2,8.0,0.0
2025-06-04 06:00:00,14.4,8.2,15.0
2025-06-04 07:00:00,15.3,9.4,99.0
2025-06-04 08:00:00,16.8,10.0,234.0
2025-06-04 09:00:00,18.4,12.4,350.0
2025-06-04 10:00:00,19.1,14.9,344.0
2025-06-04 11:00:00,20.4,18.6,547.0
2025-06-04 12:00:00,21.2,25.0,654.0
2025-06-04 13:00:00,21.2,23.8,560.0
2025-06-04 14:00:00,21.5,23.6,745.0
2025-06-04 15:00:00,18.4,16.1,393.0
2025-06-04 16:00:00,19.7,15.4,601.0
2025-06-04 17:00:00,18.9,16.7,381.0
2025-06-04 18:00:00,19.0,16.1,450.0
2025-06-04 19:00:00,18.3,14.0,280.0
2025-06-04 20:00:00,17.4,12.5,186.0
2025-06-04 21:00:00,16.2,7.2,64.0
2025-06-04 22:00:00,15.0,3.4,8.0
2025-06-04 23:00:00,13.6,4.5,0.0
2025-06-05 00:00:00,12.9,4.9,0.0
2025-06-05 01:00:00,12.4,6.3,0.0
2025-06-05 02:00:00,12.2,6.2,0.0
2025-06-05 03:00:00,11.8,7.4,0.0
2025-06-05 04:00:00,12.6,10.1,0.0
2025-06-05 05:00:00,13.1,11.3,0.0
2025-06-05 06:00:00,13.2,11.1,16.0
2025-06-05 07:00:00,14.1,11.3,105.0
2025-06-05 08:00:00,15.3,9.8,246.0
2025-06-05 09:00:00,16.2,12.0,310.0
2025-06-05 10:00:00,16.8,15.1,328.0
2025-06-05 11:00:00,17.3,14.5,387.0
2025-06-05 12:00:00,17.4,13.9,368.0
2025-06-05 13:00:00,18.4,15.7,471.0
2025-06-05 14:00:00,17.5,13.9,344.0
2025-06-05 15:00:00,17.3,14.2,384.0
2025-06-05 16:00:00,18.5,17.5,455.0
2025-06-05 17:00:00,15.6,17.0,297.0
2025-06-05 18:00:00,14.8,15.1,82.0
2025-06-05 19:00:00,15.4,11.8,155.0
2025-06-05 20:00:00,15.7,12.8,166.0
2025-06-05 21:00:00,15.2,12.7,73.0
2025-06-05 22:00:00,14.3,12.9,4.0
2025-06-05 23:00:00,14.1,13.2,0.0
2025-06-06 00:00:00,13.7,12.6,0.0
2025-06-06 01:00:00,14.0,13.9,0.0
2025-06-06 02:00:00,14.5,15.6,0.0
2025-06-06 03:00:00,14.3,18.2,0.0
2025-06-06 04:00:00,14.1,20.0,0.0
2025-06-06 05:00:00,14.3,21.7,0.0
2025-06-06 06:00:00,14.3,23.6,4.0
2025-06-06 07:00:00,14.6,24.7,34.0
2025-06-06 08:00:00,14.6,25.1,56.0
2025-06-06 09:00:00,14.6,25.1,165.0
2025-06-06 10:00:00,15.9,26.4,509.0
2025-06-06 11:00:00,17.1,24.6,636.0
2025-06-06 12:00:00,17.6,26.1,649.0
2025-06-06 13:00:00,18.3,26.2,718.0
2025-06-06 14:00:00,18.6,26.2,697.0
2025-06-06 15:00:00,17.3,20.7,409.0
2025-06-06 16:00:00,18.5,21.5,677.0
2025-06-06 17:00:00,18.3,21.8,574.0
2025-06-06 18:00:00,17.7,20.3,398.0
2025-06-06 19:00:00,16.4,20.8,338.0
2025-06-06 20:00:00,16.0,12.5,140.0
2025-06-06 21:00:00,15.2,14.7,41.0
2025-06-06 22:00:00,14.1,14.4,10.0
2025-06-06 23:00:00,14.1,13.4,0.0
2025-06-07 00:00:00,13.7,11.1,0.0
2025-06-07 01:00:00,13.1,10.3,0.0
2025-06-07 02:00:00,13.3,11.0,0.0
2025-06-07 03:00:00,12.8,10.0,0.0
2025-06-07 04:00:00,12.5,10.8,0.0
